property_id,date,price,is_weekend,is_holiday,is_event,weather,booked
PROP_001,2023-01-01,309.27,1,0,0,Snowy,0
PROP_001,2023-01-02,201.0,0,0,0,Snowy,1
PROP_001,2023-01-03,220.99,0,0,0,Sunny,1
PROP_001,2023-01-04,277.16,0,0,0,Cloudy,0
PROP_001,2023-01-05,207.41,0,0,0,Snowy,0
PROP_001,2023-01-06,264.48,0,0,0,Rainy,0
PROP_001,2023-01-07,268.76,1,0,0,Snowy,1
PROP_001,2023-01-08,434.22,1,0,1,Snowy,0
PROP_001,2023-01-09,279.12,0,0,0,Snowy,0
PROP_001,2023-01-10,293.22,0,0,0,Snowy,1
PROP_001,2023-01-11,198.58,0,0,0,Cloudy,1
PROP_001,2023-01-12,294.85,0,0,0,Snowy,0
PROP_001,2023-01-13,327.93,0,0,0,Cloudy,0
PROP_001,2023-01-14,281.17,1,0,0,Snowy,0
PROP_001,2023-01-15,427.17,1,1,0,Cloudy,1
PROP_001,2023-01-16,300.75,0,0,0,Sunny,0
PROP_001,2023-01-17,256.76,0,0,0,Sunny,0
PROP_001,2023-01-18,205.31,0,0,0,Snowy,1
PROP_001,2023-01-19,267.66,0,0,0,Cloudy,0
PROP_001,2023-01-20,374.33,0,0,1,Cloudy,0
PROP_001,2023-01-21,310.46,1,0,0,Snowy,0
PROP_001,2023-01-22,302.72,1,0,0,Rainy,1
PROP_001,2023-01-23,195.13,0,0,0,Sunny,1
PROP_001,2023-01-24,302.2,0,1,0,Snowy,1
PROP_001,2023-01-25,233.35,0,0,0,Cloudy,1
PROP_001,2023-01-26,317.29,0,0,1,Snowy,0
PROP_001,2023-01-27,341.78,0,1,0,Cloudy,1
PROP_001,2023-01-28,366.51,1,0,0,Sunny,0
PROP_001,2023-01-29,272.82,1,0,0,Sunny,0
PROP_001,2023-01-30,283.98,0,0,0,Cloudy,1
PROP_001,2023-01-31,326.04,0,0,0,Sunny,0
PROP_001,2023-02-01,340.0,0,0,0,Cloudy,0
PROP_001,2023-02-02,288.15,0,0,0,Cloudy,0
PROP_001,2023-02-03,360.75,0,0,0,Snowy,0
PROP_001,2023-02-04,225.62,1,0,0,Cloudy,1
PROP_001,2023-02-05,240.38,1,0,0,Sunny,1
PROP_001,2023-02-06,208.6,0,0,0,Sunny,1
PROP_001,2023-02-07,310.18,0,0,0,Sunny,0
PROP_001,2023-02-08,260.92,0,0,0,Cloudy,1
PROP_001,2023-02-09,244.2,0,1,0,Cloudy,1
PROP_001,2023-02-10,358.44,0,0,0,Snowy,0
PROP_001,2023-02-11,298.57,1,0,0,Sunny,1
PROP_001,2023-02-12,289.85,1,0,0,Cloudy,1
